"ID";"parameter_name";"par_value";"unit";"statistics";"SE";"min";"max";"SD";"day";"month";"sample_size";"observation_unit";"type of nest";"FirstAuthor";"Jahr";"Journal";"country";"Elevation";"Elevation_min";"Elevation_max";"mountain_name";"latGrad";"latMin";"lonGrad";"lonMin";"Methode";"size_studyarea";"begin_year";"end_year";"Bemerkung";"Feld1"
1;"breeding_density";9.40;"breeding pairs/km2";"min";;;;;;;3;"year";"skilift mast";"Grangé";"2008";"Nos Oiseaux";"France";2115;1780;2250;"Pyrenees";42;54;0;8;"nest controls";2.12;2004;2007;;
2;"breeding_density";11.70;"breeding pairs/km2";"max";;;;;;;3;"year";"skilift mast";"Grangé";"2008";"Nos Oiseaux";"France";2115;1780;2250;"Pyrenees";42;54;0;8;"nest controls";2.12;2004;2007;;
3;"clutch_first_brood";;"date";"mean";;;;;18;5;72;"brood";"skilift mast";"Grangé";"2008";"Nos Oiseaux";"France";2115;1780;2250;"Pyrenees";42;54;0;8;"nest controls";2.12;2004;2007;;
4;"prop_second_brood";0.50;"proportion";"estimate";;0.45;0.54;;;;44;"brood";"skilift mast";"Grangé";"2008";"Nos Oiseaux";"France";2115;1780;2250;"Pyrenees";42;54;0;8;"nest controls";2.12;2004;2007;"prop of all successful first broods";
5;"clutch_first_brood";;"date";"min";;;;;22;4;72;"brood";"skilift mast";"Grangé";"2008";"Nos Oiseaux";"France";2115;1780;2250;"Pyrenees";42;54;0;8;"nest controls";2.12;2004;2007;;
6;"clutch_first_brood";;"date";"max";;;;;10;6;72;"brood";"skilift mast";"Grangé";"2008";"Nos Oiseaux";"France";2115;1780;2250;"Pyrenees";42;54;0;8;"nest controls";2.12;2004;2007;;
7;"clutch_second_brood";;"date";"mean";;;;;25;6;22;"brood";"skilift mast";"Grangé";"2008";"Nos Oiseaux";"France";2115;1780;2250;"Pyrenees";42;54;0;8;"nest controls";2.12;2004;2007;;
8;"clutch_second_brood";;"date";"min";;;;;14;6;22;"brood";"skilift mast";"Grangé";"2008";"Nos Oiseaux";"France";2115;1780;2250;"Pyrenees";42;54;0;8;"nest controls";2.12;2004;2007;;
9;"clutch_second_brood";;"date";"max";;;;;9;7;22;"brood";"skilift mast";"Grangé";"2008";"Nos Oiseaux";"France";2115;1780;2250;"Pyrenees";42;54;0;8;"nest controls";2.12;2004;2007;;
10;"inter_clutch_interval";7.00;"day";"mean";;4.00;14.00;;;;8;"brood";"skilift mast";"Grangé";"2008";"Nos Oiseaux";"France";2115;1780;2250;"Pyrenees";42;54;0;8;"nest controls";2.12;2004;2007;"time between fledging of first and clutch of second brood";
11;"incubation_period";;"day";"range";;12.00;14.00;;;;21;"brood";"skilift mast";"Grangé";"2008";"Nos Oiseaux";"France";2115;1780;2250;"Pyrenees";42;54;0;8;"nest controls";2.12;2004;2007;;
12;"incubation_breaks";;"proportion";"range";;0.20;0.35;;;;5;"brood";"skilift mast";"Grangé";"2008";"Nos Oiseaux";"France";2115;1780;2250;"Pyrenees";42;54;0;8;"nest controls";2.12;2004;2007;;
13;"nestling_period";;"day";"range";;18.00;22.00;;;;30;"brood";"skilift mast";"Grangé";"2008";"Nos Oiseaux";"France";2115;1780;2250;"Pyrenees";42;54;0;8;"nest controls";2.12;2004;2007;;
14;"fledging_first_brood";;"date";"mean";;;;;21;6;38;"brood";"skilift mast";"Grangé";"2008";"Nos Oiseaux";"France";2115;1780;2250;"Pyrenees";42;54;0;8;"nest controls";2.12;2004;2007;;
